seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
CtIDH_Casos_Esp_20170222.pdf in page 18604:   '$20.000,00', '$20.000,00', '$5.000,00', '$19.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18780:   '$10,000,00', '$8.000,00', '$6.000,00', '$6.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18781:   '$6.000,00', '$6.000,00', '$6.000,00', '$6.000,00', '$4.000,00', '$2.500,00', '$2.500,00', '$4.000,00', '$6.000,00', '$6.000,00', '$8.000,00', '$6.000,00', '$6.000,00', '$6.000,00', '$6.000,00', '$6.000,00', '$6.000,00', '$6.000,00', '$4.000,00', '$6.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18782:   '$6.000,00', '$6.000,00', '$2.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 18827:   '$1.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 18830:   '$50,00', '$3.200,00'
CtIDH_Casos_Esp_20170222.pdf in page 18879:   '$600,00', '$1.000,00', '$15.000,00', '$7.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18886:   '$5.000,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18887:   '$50.000,00', '$25.000,00', '$15.000,00', '$20.000,00', '$5.000,00', '$10.000,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18888:   '$5.000,00', '$2.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18904:   '$46.800,00', '$45.700,00', '$6.579,90', '$75.000,00', '$1.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18907:   '$1.559.800,00', '$13.800,00', '$37.000,00', '$1.348.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 18908:   '$29.000,00', '$131.500,00', '$3.921.500,00', '$555.000,00', '$35.000,00', '$90.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18909:   '$2.310.000,00', '$256.500,00', '$630.000,00', '$30.000,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18910:   '$75.000,00', '$10.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 18922:   '$1ˆ23'
CtIDH_Casos_Esp_20170222.pdf in page 18924:   '$1692'
CtIDH_Casos_Esp_20170222.pdf in page 18925:   '$2L5', '$2L5', '$2L5'
CtIDH_Casos_Esp_20170222.pdf in page 18927:   '$240'
CtIDH_Casos_Esp_20170222.pdf in page 18958:   '$2L5'
CtIDH_Casos_Esp_20170222.pdf in page 18967:   '$5-2'
CtIDH_Casos_Esp_20170222.pdf in page 18971:   '$2L5'
CtIDH_Casos_Esp_20170222.pdf in page 18983:   '$2L5'
CtIDH_Casos_Esp_20170222.pdf in page 18990:   '$5L6'
CtIDH_Casos_Esp_20170222.pdf in page 18999:   '$0998', '$0?6'
CtIDH_Casos_Esp_20170222.pdf in page 19069:   '$3445', '$345', '$345'
CtIDH_Casos_Esp_20170222.pdf in page 19079:   '$9$9'
CtIDH_Casos_Esp_20170222.pdf in page 19096:   '$8;3'
CtIDH_Casos_Esp_20170222.pdf in page 19099:   '$8(1'
CtIDH_Casos_Esp_20170222.pdf in page 19100:   '$999', '$999'
CtIDH_Casos_Esp_20170222.pdf in page 19105:   '$99:5'
CtIDH_Casos_Esp_20170222.pdf in page 19108:   '$8$998', '$8$5'
CtIDH_Casos_Esp_20170222.pdf in page 19110:   '$998'
CtIDH_Casos_Esp_20170222.pdf in page 19111:   '$998"4'
CtIDH_Casos_Esp_20170222.pdf in page 19113:   '$998ˇ8'
CtIDH_Casos_Esp_20170222.pdf in page 19118:   '$99851'
CtIDH_Casos_Esp_20170222.pdf in page 19119:   '$9983', '$999'
CtIDH_Casos_Esp_20170222.pdf in page 19124:   '$8$5'
CtIDH_Casos_Esp_20170222.pdf in page 19128:   '$996'
CtIDH_Casos_Esp_20170222.pdf in page 19130:   '$999'
CtIDH_Casos_Esp_20170222.pdf in page 19131:   '$8;3', '$999'
CtIDH_Casos_Esp_20170222.pdf in page 19132:   '$99>3', '$99<63'
CtIDH_Casos_Esp_20170222.pdf in page 19136:   '$8$9983'
CtIDH_Casos_Esp_20170222.pdf in page 19138:   '$9G9', '$9G91'
CtIDH_Casos_Esp_20170222.pdf in page 19139:   '$998', '$9<9'
CtIDH_Casos_Esp_20170222.pdf in page 19141:   '$998', '$999'
CtIDH_Casos_Esp_20170222.pdf in page 19142:   '$8(5', '$938'
CtIDH_Casos_Esp_20170222.pdf in page 19144:   '$9J8', '$9(2'
CtIDH_Casos_Esp_20170222.pdf in page 19145:   '$999', '$9:9'
CtIDH_Casos_Esp_20170222.pdf in page 19193:   '$125,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 19196:   '$125.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19200:   '$6$3'
CtIDH_Casos_Esp_20170222.pdf in page 19201:   '$9468'
CtIDH_Casos_Esp_20170222.pdf in page 19202:   '$7˝6', '$73˝6', '$9˝6'
CtIDH_Casos_Esp_20170222.pdf in page 19204:   '$6˝6', '$8˝6', '$6˝6'
CtIDH_Casos_Esp_20170222.pdf in page 19205:   '$9˝6', '$7?47'
CtIDH_Casos_Esp_20170222.pdf in page 19211:   "$96'4"
CtIDH_Casos_Esp_20170222.pdf in page 19218:   '$8771'
CtIDH_Casos_Esp_20170222.pdf in page 19223:   '$987', '$987'
CtIDH_Casos_Esp_20170222.pdf in page 19225:   '$9874'
CtIDH_Casos_Esp_20170222.pdf in page 19227:   '$987ˆ16', '$9876', '$987', '$3,4'
CtIDH_Casos_Esp_20170222.pdf in page 19229:   '$6:6'
CtIDH_Casos_Esp_20170222.pdf in page 19236:   '$987'
CtIDH_Casos_Esp_20170222.pdf in page 19241:   '$69>76'
CtIDH_Casos_Esp_20170222.pdf in page 19242:   '$69 6'
CtIDH_Casos_Esp_20170222.pdf in page 19243:   '$6:5'
CtIDH_Casos_Esp_20170222.pdf in page 19244:   '$1892'
CtIDH_Casos_Esp_20170222.pdf in page 19245:   "$67'3"
CtIDH_Casos_Esp_20170222.pdf in page 19246:   '$673'
CtIDH_Casos_Esp_20170222.pdf in page 19248:   '$6;79', '$6;79', '$6;79'
CtIDH_Casos_Esp_20170222.pdf in page 19249:   '$66N5', '$66N55', '$66N55', '$66N55'
CtIDH_Casos_Esp_20170222.pdf in page 19252:   '$69>76'
CtIDH_Casos_Esp_20170222.pdf in page 19256:   '$5˚01'
CtIDH_Casos_Esp_20170222.pdf in page 19258:   '$839'
CtIDH_Casos_Esp_20170222.pdf in page 19290:   '$20.000,00', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19411:   '$45*2'
CtIDH_Casos_Esp_20170222.pdf in page 19418:   '$5-7'
CtIDH_Casos_Esp_20170222.pdf in page 19603:   '$5657'
CtIDH_Casos_Esp_20170222.pdf in page 19642:   '$3.000,00', '$900,00', '$400,00'
CtIDH_Casos_Esp_20170222.pdf in page 19661:   '$10.000,00', '$16.650,00', '$20.000,00', '$1.600,00', '$17.000,00', '$708.000,00', '$1.600,00'
CtIDH_Casos_Esp_20170222.pdf in page 19663:   '$108.759,00'
CtIDH_Casos_Esp_20170222.pdf in page 19664:   '$125.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19665:   '$125.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19666:   '$4.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19667:   '$20.000,00', '$15.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19668:   '$30.528,74'
CtIDH_Casos_Esp_20170222.pdf in page 19669:   '$60,00', '$25.855,00', '$25.855,00'
CtIDH_Casos_Esp_20170222.pdf in page 19670:   '$3.000,00', '$125.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19671:   '$10.000,00', '$7.000,00', '$27.000,00', '$20.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19672:   '$51.679,55'
CtIDH_Casos_Esp_20170222.pdf in page 19673:   '$82,82'
CtIDH_Casos_Esp_20170222.pdf in page 19675:   '$2.000,00', '$100.000,00', '$100.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19676:   '$5.000,00', '$25.000,00', '$20.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19677:   '$24.895,25', '$49.791,85'
CtIDH_Casos_Esp_20170222.pdf in page 19678:   '$82,82', '$32.814,00', '$32.814,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19679:   '$200.000', '$100.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19680:   '$20.000,00', '$2.000,00', '$22.000,00', '$1.000,00', '$5.500,00', '$1.620,00'
CtIDH_Casos_Esp_20170222.pdf in page 19681:   '$1.720,00', '$1.620,00'
CtIDH_Casos_Esp_20170222.pdf in page 19682:   '$234,75', '$78.372,00', '$39.186,00', '$39.186,00', '$13.062,00'
CtIDH_Casos_Esp_20170222.pdf in page 19683:   '$3.000,00', '$110.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19684:   '$40.000,00', '$35.000,00', '$15.000,00', '$10.000,00', '$15.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19685:   '$8.000,00', '$25.000,00', '$25.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19686:   '$10.000,00', '$8.000,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19687:   '$5.000,00', '$3.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19690:   '$30,000.00', '$15,000.00'
CtIDH_Casos_Esp_20170222.pdf in page 19692:   '$20.000,00', '$2.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19694:   '$108.759,00', '$10.000,00', '$54.000,00', '$20.000,00', '$15.000,00', '$5.000,00', '$5.000,00', '$5.000,00', '$4.000,00', '$25.855,00'
CtIDH_Casos_Esp_20170222.pdf in page 19695:   '$3.000,00', '$27.000,00', '$20.000,00', '$7.000,00', '$32.545,00', '$2.000,00', '$25.000,00', '$20.000,00', '$5.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19696:   '$32.814,00', '$2.000,00', '$22.000,00', '$20.000,00', '$2.000,00', '$78.372,00', '$39.186,00', '$39.186,00', '$13.062,00', '$3.000,00', '$40.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19697:   '$10.000,00', '$8.000,00', '$8.000,00', '$3.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19698:   '$20.000,00', '$2.000,00', '$1.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19703:   '$9 5'
CtIDH_Casos_Esp_20170222.pdf in page 19706:   '$3F23'
CtIDH_Casos_Esp_20170222.pdf in page 19707:   '$759'
CtIDH_Casos_Esp_20170222.pdf in page 19708:   '$56"66', '$562"66', '$3+3', '$7592', '$759'
CtIDH_Casos_Esp_20170222.pdf in page 19709:   '$8"666', '$8,5', '$625'
CtIDH_Casos_Esp_20170222.pdf in page 19711:   '$759', '$7@2'
CtIDH_Casos_Esp_20170222.pdf in page 19712:   '$5<5', '$63˝5', '$5"3'
CtIDH_Casos_Esp_20170222.pdf in page 19716:   '$075$51', '$584', '$5:42'
CtIDH_Casos_Esp_20170222.pdf in page 19719:   '$5"42'
CtIDH_Casos_Esp_20170222.pdf in page 19720:   '$1;3'
CtIDH_Casos_Esp_20170222.pdf in page 19722:   '$075˘5', '$5K4', '$7942', '$7Q862'
CtIDH_Casos_Esp_20170222.pdf in page 19723:   '$3$0'
CtIDH_Casos_Esp_20170222.pdf in page 19724:   '$55Q5'
CtIDH_Casos_Esp_20170222.pdf in page 19728:   '$0˜3', '$569', '$99@23'
CtIDH_Casos_Esp_20170222.pdf in page 19729:   '$6˛2', '$575Q57'
CtIDH_Casos_Esp_20170222.pdf in page 19732:   '$20?5'
CtIDH_Casos_Esp_20170222.pdf in page 19755:   '$50.000.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19760:   '$6.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19799:   '$3.142.346,00', '$3.104.967,00', '$1.557.513,00', '$7.804.826,00', '$1.000.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19801:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19802:   '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19804:   '$20.000,00', '$50.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 19813:   '$163'
CtIDH_Casos_Esp_20170222.pdf in page 19827:   '$7,7'
CtIDH_Casos_Esp_20170222.pdf in page 19833:   '$7,7'
CtIDH_Casos_Esp_20170222.pdf in page 19834:   '$7,7'
CtIDH_Casos_Esp_20170222.pdf in page 19837:   '$7,7'
CtIDH_Casos_Esp_20170222.pdf in page 19978:   '$2˙479'
CtIDH_Casos_Esp_20170222.pdf in page 19984:   '$427'
CtIDH_Casos_Esp_20170222.pdf in page 19986:   '$3>7'
CtIDH_Casos_Esp_20170222.pdf in page 20007:   '$7B4'
CtIDH_Casos_Esp_20170222.pdf in page 20008:   '$7B4'
CtIDH_Casos_Esp_20170222.pdf in page 20036:   '$674', '$7794', '$779', '$779"4', '$7794', '$7#3', '$779', '$779', '$779'
CtIDH_Casos_Esp_20170222.pdf in page 20037:   '$77@3', '$778', '$778', '$778', '$77@34', '$778', '$778', '$9$778', '$778', '$6(6', '$778', '$9(6', '$778.4'
CtIDH_Casos_Esp_20170222.pdf in page 20039:   '$776', '$77B3'
CtIDH_Casos_Esp_20170222.pdf in page 20040:   '$77A4'
CtIDH_Casos_Esp_20170222.pdf in page 20041:   '$83$77', '$77B4'
CtIDH_Casos_Esp_20170222.pdf in page 20043:   '$77B316', '$77B4'
CtIDH_Casos_Esp_20170222.pdf in page 20044:   '$77B4', '$77B4'
CtIDH_Casos_Esp_20170222.pdf in page 20047:   '$777', '$4˜3', '$777/1', '$77B4', '$6$777', '$777', '$777.4', '$777', '$777', '$777', '$777.3'
CtIDH_Casos_Esp_20170222.pdf in page 20049:   '$9$776', '$776', '$7760', '$776I2', '$779', '$779', '$778', '$778', '$776F2', '$77B504', '$77B530', '$778', '$504', '$77B5', '$77B5', '$77B53', '$776F2'
CtIDH_Casos_Esp_20170222.pdf in page 20050:   '$779', '$779', '$779', '$77621', '$7791', '$776"141', '$77@1', '$6T79', '$776I2', '$3$776', '$778', '$5304', '$779', '$77900', '$779', '$779', '$779', '$779', '$778', '$77B5', '$77B5'
CtIDH_Casos_Esp_20170222.pdf in page 20051:   '$778', '$778', '$778', '$53$9', '$778', '$778', '$77B53', '$778', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20052:   '$778', '$778', '$778', '$504', '$77B54', '$9$778', '$77B53', '$778', '$9$778', '$778', '$9$778', '$778', '$778', '$77B5', '$77B53', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20053:   '$778*2', '$778N1', '$778', '$7780', '$778', '$778', '$778', '$9$778', '$77B53', '$778', '$778', '$778', '$7780', '$7780', '$77B5', '$77B53', '$778', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20054:   '$778˜0', '$778', '$778', '$778', '$7780', '$778', '$77B53', '$778', '$778', '$77B50', '$77B53', '$778', '$77B50'
CtIDH_Casos_Esp_20170222.pdf in page 20055:   '$778', '$778', '$77B53', '$7780', '$778', '$778', '$778', '$778', '$778', '$77B54', '$77B5', '$77B53', '$6395', '$778', '$778', '$778', '$778', '$778', '$77B5', '$77B54'
CtIDH_Casos_Esp_20170222.pdf in page 20056:   '$6395', '$778', '$778', '$778', '$778', '$778', '$776', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$77B5', '$77B5', '$77B54', '$77B5', '$3$776', '$779', '$779', '$779', '$779', '$778', '$778', '$778', '$778', '$778', '$6544', '$778', '$778', '$5.04', '$778', '$778', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20057:   '$779', '$77900', '$7790', '$5.6', '$7780', '$778', '$778', '$778', '$7780', '$7780', '$778', '$778', '$778', '$779', '$77;0', '$7790', '$5.6', '$7780', '$778', '$778', '$778', '$778', '$778', '$778', '$778', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20058:   '$776', '$776', '$77;3', '$77A04', '$77A51', '$777', '$778', '$778', '$778', '$778', '$778', '$776', '$77654', '$776', '$77654', '$77654', '$7534', '$96;9', '$8!6', '$77B5', '$77654', '$7765', '$77653', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20059:   '$778', '$778', '$778', '$778', '$778', '$778', '$77B534'
CtIDH_Casos_Esp_20170222.pdf in page 20060:   '$77;4'
CtIDH_Casos_Esp_20170222.pdf in page 20061:   '$7B7'
CtIDH_Casos_Esp_20170222.pdf in page 20062:   '$776', '$6$776', '$776', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20063:   '$77$4', '$776', '$776', '$779#98', '$7764', '$7763'
CtIDH_Casos_Esp_20170222.pdf in page 20064:   '$7761', '$779<4', '$7763'
CtIDH_Casos_Esp_20170222.pdf in page 20066:   '$778', '$779', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20067:   '$778', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20068:   '$7784'
CtIDH_Casos_Esp_20170222.pdf in page 20069:   '$778', '$7762', '$7762'
CtIDH_Casos_Esp_20170222.pdf in page 20070:   '$77604'
CtIDH_Casos_Esp_20170222.pdf in page 20071:   '$7763', '$779', '$9$7763', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20072:   '$776', '$77@4'
CtIDH_Casos_Esp_20170222.pdf in page 20073:   '$778N1', '$779'
CtIDH_Casos_Esp_20170222.pdf in page 20074:   '$779(1'
CtIDH_Casos_Esp_20170222.pdf in page 20075:   '$7B7'
CtIDH_Casos_Esp_20170222.pdf in page 20076:   '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20077:   '$1$7', '$7761'
CtIDH_Casos_Esp_20170222.pdf in page 20078:   '$776', '$776', '$776', '$7763'
CtIDH_Casos_Esp_20170222.pdf in page 20079:   '$776(2', '$7763', '$7793'
CtIDH_Casos_Esp_20170222.pdf in page 20080:   '$776', '$779'
CtIDH_Casos_Esp_20170222.pdf in page 20081:   '$776', '$776', '$779', '$779'
CtIDH_Casos_Esp_20170222.pdf in page 20082:   '$7A7', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20083:   '$776', '$776', '$77$1', '$776', '$776', '$776', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20084:   '$7761', '$776', '$7763', '$776', '$776', '$7B8', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20085:   '$776', '$776', '$776', '$776', '$776', '$7763'
CtIDH_Casos_Esp_20170222.pdf in page 20086:   '$6$7763', '$776', '$776', '$7763', '$776', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20087:   '$777', '$9L79', '$779', '$779', '$777', '$8$7', '$9;5', '$7B7'
CtIDH_Casos_Esp_20170222.pdf in page 20088:   '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20089:   '$863'
CtIDH_Casos_Esp_20170222.pdf in page 20090:   '$6$777', '$7763', '$776', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20092:   '$77:3', '$776,1', '$779', '$778', '$779', '$77;0', '$778', '$504', '$77B54', '$77B5', '$77B5', '$77B5'
CtIDH_Casos_Esp_20170222.pdf in page 20093:   '$776', '$77B50', '$77B54', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B50', '$77B542', '$365ˆ2', '$778', '$77B5', '$77B5', '$77B5', '$77B542', '$778', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B50', '$77B542', '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20094:   '$6$776', '$6$776', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B53', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B54', '$776', '$77654', '$77654', '$778', '$778', '$77B5', '$77B5', '$77B54', '$365', '$778', '$778', '$77B504', '$77B5', '$77B542', '$365'
CtIDH_Casos_Esp_20170222.pdf in page 20095:   '$776', '$365', '$77B542', '$779', '$77900', '$778', '$504', '$77B53', '$778', '$778', '$778', '$7780', '$7780', '$778', '$778', '$778', '$77B5', '$77B5', '$77B5', '$77B5', '$77B5', '$77B54', '$778', '$779', '$779', '$779'
CtIDH_Casos_Esp_20170222.pdf in page 20096:   '$77;3', '$779', '$778', '$778', '$778', '$5.04', '$778', '$778', '$504', '$77B5', '$77B5', '$77B5', '$77B50', '$77B5', '$77B5', '$77B53', '$3$776'
CtIDH_Casos_Esp_20170222.pdf in page 20097:   '$67(4', '$883'
CtIDH_Casos_Esp_20170222.pdf in page 20098:   '$6$4', '$865', '$7$53', '$995', '$9;5', '$6A3', '$9:53'
CtIDH_Casos_Esp_20170222.pdf in page 20099:   '$779'
CtIDH_Casos_Esp_20170222.pdf in page 20100:   '$97(1', '$9$5'
CtIDH_Casos_Esp_20170222.pdf in page 20101:   '$7;5', '$883'
CtIDH_Casos_Esp_20170222.pdf in page 20102:   '$38(6'
CtIDH_Casos_Esp_20170222.pdf in page 20103:   '$38(6'
CtIDH_Casos_Esp_20170222.pdf in page 20104:   '$7A53', '$8;3', '$7853', '$7$778', '$983', '$7B9', '$7B6', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20105:   '$7A53'
CtIDH_Casos_Esp_20170222.pdf in page 20107:   '$7B9', '$38(6', '$38(6', '$7B9', '$7B6', '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20108:   '$9A3', '$96$99', '$7B6'
CtIDH_Casos_Esp_20170222.pdf in page 20109:   '$776', '$7B53'
CtIDH_Casos_Esp_20170222.pdf in page 20110:   '$7764', '$776', '$7793'
CtIDH_Casos_Esp_20170222.pdf in page 20111:   '$7793', '$7H7'
CtIDH_Casos_Esp_20170222.pdf in page 20114:   '$777', '$685', '$6$5', '$6$5', '$6$5'
CtIDH_Casos_Esp_20170222.pdf in page 20115:   '$7793'
CtIDH_Casos_Esp_20170222.pdf in page 20117:   '$7@75', '$7@7'
CtIDH_Casos_Esp_20170222.pdf in page 20118:   '$7@7', '$7@73', '$7@73'
CtIDH_Casos_Esp_20170222.pdf in page 20119:   '$778'
CtIDH_Casos_Esp_20170222.pdf in page 20120:   '$6;3', '$6;3'
CtIDH_Casos_Esp_20170222.pdf in page 20122:   '$6;3'
CtIDH_Casos_Esp_20170222.pdf in page 20123:   '$38(6'
CtIDH_Casos_Esp_20170222.pdf in page 20124:   '$6;3'
CtIDH_Casos_Esp_20170222.pdf in page 20126:   '$7B7', '$778', '$778', '$777 3', '$777'
CtIDH_Casos_Esp_20170222.pdf in page 20127:   '$7B9', '$7B8'
CtIDH_Casos_Esp_20170222.pdf in page 20128:   '$76A54'
CtIDH_Casos_Esp_20170222.pdf in page 20129:   '$7A8', '$7A8', '$7@7'
CtIDH_Casos_Esp_20170222.pdf in page 20130:   '$7@7', '$7@7'
CtIDH_Casos_Esp_20170222.pdf in page 20131:   '$777', '$7B7', '$7B6', '$9$6966'
CtIDH_Casos_Esp_20170222.pdf in page 20132:   '$7B7', '$779', '$777', '$776', '$777'
CtIDH_Casos_Esp_20170222.pdf in page 20133:   '$777'
CtIDH_Casos_Esp_20170222.pdf in page 20134:   '$777', '$7T6', '$7;73'
CtIDH_Casos_Esp_20170222.pdf in page 20135:   '$7B7', '$77B3', '$777 3', '$77$3'
CtIDH_Casos_Esp_20170222.pdf in page 20136:   '$777'
CtIDH_Casos_Esp_20170222.pdf in page 20138:   '$777'
CtIDH_Casos_Esp_20170222.pdf in page 20142:   '$779', '$7795'
CtIDH_Casos_Esp_20170222.pdf in page 20143:   '$7@73', '$777', '$8B53', '$7@7'
CtIDH_Casos_Esp_20170222.pdf in page 20148:   '$776'
CtIDH_Casos_Esp_20170222.pdf in page 20150:   '$7@7'
CtIDH_Casos_Esp_20170222.pdf in page 20316:   '$40.000'
CtIDH_Casos_Esp_20170222.pdf in page 20428:   '$10.000.00'
CtIDH_Casos_Esp_20170222.pdf in page 20451:   '$151.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20452:   '$16.000,00', '$10.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20455:   '$16.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20486:   '$390.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20543:   '$167.190,30', '$99.190,30', '$15.000,00', '$15.000,00', '$10.000,00', '$10.000,00', '$18.000,00', '$3.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20545:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20546:   '$20.000,00', '$5.000,00', '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20616:   '$10.000,00', '$2.500,00'
CtIDH_Casos_Esp_20170222.pdf in page 20618:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20660:   '$390.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20685:   '$1.161.949,00', '$1.329.367,00', '$299.577,70', '$289.469,00', '$112.108,00', '$8.023,00', '$21.374,58', '$19.200,00', '$2.174,58', '$96.470,00'
CtIDH_Casos_Esp_20170222.pdf in page 20686:   '$30.000,00', '$12.000,00', '$138.470,00', '$1.161.949,00', '$1.329.367,00'
CtIDH_Casos_Esp_20170222.pdf in page 20687:   '$16.000,00', '$138.470,00', '$15.000,00', '$500.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20688:   '$30.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20690:   '$22.802,12'
CtIDH_Casos_Esp_20170222.pdf in page 20691:   '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20692:   '$151.000,00', '$30.000,00', '$15.000,00', '$16.000,00', '$10.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 20734:   '$20.000'
CtIDH_Casos_Esp_20170222.pdf in page 20846:   '$29.724,00', '$13.912,56', '$3.864,60', '$3.508,92'
CtIDH_Casos_Esp_20170222.pdf in page 20847:   '$1.140,00', '$3.168,00', '$12.000,00', '$18.000', '$14.400'
CtIDH_Casos_Esp_20170222.pdf in page 20856:   '$15.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21069:   '$10.000'
CtIDH_Casos_Esp_20170222.pdf in page 21258:   '$20.000', '$20.000'
CtIDH_Casos_Esp_20170222.pdf in page 21264:   '$2.100,00', '$172.958,35', '$148.036,16'
CtIDH_Casos_Esp_20170222.pdf in page 21265:   '$125.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21266:   '$125.000,00', '$173.058,35', '$148.136,17', '$166.541,53'
CtIDH_Casos_Esp_20170222.pdf in page 21268:   '$125,00'
CtIDH_Casos_Esp_20170222.pdf in page 21269:   '$2.100,00', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21270:   '$125,00'
CtIDH_Casos_Esp_20170222.pdf in page 21271:   '$31.065,88', '$30.102,38', '$26.872,48', '$125.000,00', '$29.070,00', '$38.155,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21272:   '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21274:   '$154.040,74'
CtIDH_Casos_Esp_20170222.pdf in page 21277:   '$154', '$2.000,00', '$20.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21278:   '$125,00'
CtIDH_Casos_Esp_20170222.pdf in page 21283:   '$240,000', '$2.000,00'
CtIDH_Casos_Esp_20170222.pdf in page 21284:   '$5.500,00', '$2.800,00', '$5.000', '$67.000,00', '$197.000', '$5.000,00'
